handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_7e2f0e5b-04bb-6fb1-c60a-1a9815c4fbd9,Product,Surfer Pendant Chain,"<p><strong>Surfer Pendant Chain</strong><br>Ride the flow. The Surfer Pendant Chain comes with our brooklyn chain&nbsp;with a statement pendant, bringing a mix of street edge and coastal calm. Designed to stand out, it’s your everyday wave of style — clean, confident, and built to last.</p><p><strong>Why It Hits:</strong></p><ul>	<li>Why it hits: Unique Brooklyn chain = not your regular drip</li>	<li>Pendant + chain combo that’s both minimal and flex-worthy</li>	<li>Anti-tarnish + water-resistant = wear it 24/7, no stress</li>	<li>Easy to rock solo, fire when layered</li></ul>",7ae4c4_a147a85b152446b7961302310d8535da~mv2.jpg;7ae4c4_3fc97f754e7d4430a582f41e63a1d345~mv2.jpg;7ae4c4_fa83eff1352544e3b7bd428d479a4953~mv2.jpg;7ae4c4_26c8f7a167a24e2c8eb0dd663359c937~mv2.jpg;7ae4c4_9e04a2c6e5ca41e2be26c95d8a642684~mv2.jpg;7ae4c4_7efe4549340140cf9f10250c99b4c300~mv2.jpg;7ae4c4_bf557e4a64b042258983108b6ce2b85f~mv2.jpg;7ae4c4_8002aa81497c4c938d2da835c8ec5bf2~mv2.jpg;7ae4c4_5c99efd2bc244bdcbcfd370a00ed3716~mv2.jpg,Pendants,,,599.0,,true,PERCENT,0.0,12,0.08,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p><strong>MATERIAL </strong>- Stainless Steel Chain &amp; Pendant (Waterprrof &amp; Anti Tarnish)</p>

<p><strong>CHAIN THICKNESS</strong> - 1MM</p>

<p><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b>CHAIN LENGTH&nbsp;</b></font>&nbsp;- 21 Inch Chain (Adjustable)&nbsp;<br>
&nbsp;<br>
<strong>PENDANT LENGTH</strong> - 1.5 Inch (With Clasp)</p>
",CARE INSTRUCTIONS,"<p>You’ve got yourself a Sicsense Pendant Chain—built to last, no stress required. But if you want to keep it looking sharp, here’s the simple game plan:</p>

<p>1️⃣ Waterproof – Shower? Sweat? Spilled your drink? No worries, it’s built different.</p>

<p>2️⃣ Anti-Tarnish – Stays shining, no green neck disasters here.</p>

<p>3️⃣ Hypoallergenic – Your skin will love it. No rashes, no redness, just vibes.</p>

<p>4️⃣ 6-Month Warranty – If it ever lets you down (it won’t), we’ve got you.</p>

<p>Basically, put it on and forget about it—this chain works harder than your ex ever did.Wear it. Love it. Forget the hassle. Sicsense has you covered. 😏​​​​​​</p>
",SHIPPING,"<p>After placing your order, please wait for least 48 Hours which includes making, processing and packaging followed by 4-7 business days of shipping for India-wide orders.<br>
We will get ready and ship your package within 48 hours. Tracking information is automatically emailed to all customers and sent via message if the phone number is added to your order. If you don't receive this, please check your spam folder.<br>
<br>
If you have any questions about shipping, please dm us on Instagram @Sicsense.in</p>
",RETURN AND EXCHANGE,"<p>All sales made are final and cannot be refunded or cancelled once payment has processed and the order is confirmed.</p>

<p>For any Exchange or Replacement give us a text on Instagram @Sicsense.in</p>
",,,,,,,,,,,Sicsense
product_663db186-35d3-ab22-ea7d-1ad280a0e0ad,Product,Titan Chain,"<p>Street energy, clean execution. The Titan Chain keeps it bold but classy — for the ones who know how to flex without losing finesse.<br>Why It Slaps:</p><ul>	<li>Premium stainless steel — anti-tarnish, water-resistant, built to last</li>	<li>Chunky links for that confident street presence</li>	<li>Balanced design — enough shine for the spotlight, enough class for everyday wear</li></ul><p>From the block to the boardroom — the Titan Chain always sits like a crown.</p>",7ae4c4_53de655ee1a14689bfe24ee414b4a95d~mv2.jpg;7ae4c4_832c6ad7a4144aaaae4fdd269088bced~mv2.png;7ae4c4_eaf8d8189728465bb855f8fe07972512~mv2.png;7ae4c4_45559d79635741f084b99805c01fda8d~mv2.png;7ae4c4_1e7801fd652c427d9850dafb4cc07b77~mv2.png;7ae4c4_547fe844d4fa4f3c95ecc82a36362360~mv2.png,Neckpieces;Best sellers;New Launch,,,450.0,,true,PERCENT,0.0,0,0.1,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p><strong>MATERIAL</strong> - Stainless Steel</p>

<p><strong>LENGTH</strong> - 18&nbsp;Inches &amp; 2 Inches extension&nbsp;</p>
",CARE INSTRUCTIONS,"<p><span><span><span>You’ve got yourself a Sicsense Neckpiece—built to last, no stress required. But if you want to keep it looking sharp, here’s the simple game plan:</span></span></span></p>

<p><span><span><span>1️</span></span><span><span>⃣</span></span><span><span> Waterproof – Shower? Sweat? Spilled your drink? No worries, it’s built different.</span></span></span></p>

<p><span><span><span>2️</span></span><span><span>⃣</span></span><span><span> Anti-Tarnish – Stays shining, no green neck disasters here.</span></span></span></p>

<p><span><span><span>3️</span></span><span><span>⃣</span></span><span><span> Hypoallergenic – Your skin will love it. No rashes, no redness, just vibes.</span></span></span></p>

<p><span><span><span>4️</span></span><span><span>⃣</span></span><span><span> 6-Month Warranty – If it ever lets you down (it won’t), we’ve got you.</span></span></span></p>
",SHIPPING,"<p>After placing your order, please wait for least 48 Hours which includes making, processing and packaging followed by 4-7 business days of shipping for India-wide orders.<br>
We will get ready and ship your package within 48 hours. Tracking information is automatically emailed to all customers and sent via message if the phone number is added to your order. If you don't receive this, please check your spam folder.</p>

<p>If you have any questions about shipping, please dm us on Instagram @Sicsense.in</p>

<p>&nbsp;</p>
",RETURN & EXCHANGE,"<p>All sales made are final and cannot be refunded or cancelled once payment has processed and the order is confirmed.</p>

<p>For any Exchange or Replacement give us a text on Instagram @Sicsense.in</p>
",,,,,,,,,,,Sicsense
product_8d597d75-f3be-7304-dd81-0e3d9be0254f,Product,Helix Ear Cuff,"<p><strong>Helix Ear Cuff – No Piercing, All Drip</strong></p><p>Level up your ear game without going near a needle. The <strong>Helix Ear Cuff</strong> wraps your ear in clean, minimal shine — no commitment, no fuss. Just slide it on and you’re instantly in main character mode.</p><p><strong>Why It Slaps:</strong></p><ul>	<li>	<p>No piercing needed — pain-free style upgrade</p>	</li>	<li>	<p>Lightweight but makes a heavy style statement</p>	</li>	<li>	<p>Easy to wear, easy to pair with any fit</p>	</li></ul>",7ae4c4_42161530fe3d4d2bad060442fe50e96e~mv2.jpg;7ae4c4_f908426321dc452ba53aec71a0e19688~mv2.jpg;7ae4c4_66911a3e969646e2b6e5ca2b2fca7896~mv2.jpg;7ae4c4_7fd44b50eb5a49c0a594be93ba46ee05~mv2.jpg,Earrings;Non-Pierced,,,250.0,,true,PERCENT,0.0,19,0.08,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p><strong>MATERIAL </strong>- Brass</p>

<p><strong>DIAMETER</strong>&nbsp;-&nbsp; 11 MM (Not Adjustable)</p>

<p><strong>Note</strong> : Sold as a single piece</p>

<p>&nbsp;</p>
",CARE INSTRUCTIONS,"<ul>
	<li><span><span><span><span>Store in a box or a pouch to give your accessories the love they deserve</span></span></span></span></li>
	<li><span><span><span><span>Let those perfumes and lotions dry before flexing your Sicsense Accessories.</span></span></span></span></li>
	<li><span><span><span><span>Give your accessories a break too! Take them off before going to bed.</span></span></span></span></li>
	<li><span><span><span>The Only time you don’t wear our accessories should be while entering water</span></span></span></li>
</ul>
",SHIPPING,"<p>After placing your order, please wait for least 48 Hours which includes making, processing and packaging followed by 4-7 business days of shipping for India-wide orders.<br>
We will get ready and ship your package within 48 hours. Tracking information is automatically emailed to all customers and sent via message if the phone number is added to your order. If you don't receive this, please check your spam folder.<br>
<br>
If you have any questions about shipping, please dm us on Instagram @Sicsense.in</p>
",RETURN AND EXCHANGE,"<p>All sales made are final and cannot be refunded or cancelled once payment has processed and the order is confirmed.</p>

<p>For any Exchange or Replacement give us a text on Instagram @Sicsense.in</p>
",,,,,,,,,,,Sicsense
product_455e062b-2617-6aee-5567-6d1612d25d23,Product,Dagger Pendant Chain (Golden),"<p>The <strong>Dagger Pendant Chain</strong> combines a striking design with strength. Crafted from durable stainless steel, the pendant features a sharp, sleek dagger shape that embodies power and elegance.Made from high-quality stainless steel, the dagger pendant showcases sleek lines and a powerful edge, offering a unique, modern aesthetic.</p>",7ae4c4_0346db0357f9427299f60ceb5c4c64c0~mv2.jpg;7ae4c4_4b3eceed11bb4f9880d79d63019ec55c~mv2.jpg;7ae4c4_25e83dffd903422d8f71d70593b9d412~mv2.jpg;7ae4c4_39db98ff27b344d69edf024bcc4e96d9~mv2.jpg;7ae4c4_e39c568aebb74aeb89064c9ba58ffc9a~mv2.jpg;7ae4c4_7d6ced1d7b64410e821860d06359aaf9~mv2.jpg,Pendants,,,400.0,,true,PERCENT,0.0,43,0.08,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p><strong>MATERIAL </strong>: Stainless Steel Pendant &amp; Chain</p>

<p><strong>SIZE </strong>: 21&nbsp;Inches&nbsp;&amp; 1.5cm long&nbsp;Pendant</p>
",CARE INSTRUCTION,"<p>You’ve got yourself a Sicsense pendant &amp; chain—built to last, no stress required. But if you want to keep it looking sharp, here’s the simple game plan:</p>

<p>1️⃣ Waterproof – Shower? Sweat? Spilled your drink? No worries, it’s built different.</p>

<p>2️⃣ Anti-Tarnish – Stays shining, no green neck disasters here.</p>

<p>3️⃣ Hypoallergenic – Your skin will love it. No rashes, no redness, just vibes.</p>

<p>4️⃣ 1-Year Warranty – If it ever lets you down (it won’t), we’ve got you.</p>

<p>Basically, put it on and forget about it—this chain works harder than your ex ever did.Wear it. Love it. Forget the hassle. Sicsense has you covered. 😏</p>
",SHIPPING,"<p>After placing your order, please wait for least 48 Hours which includes making, processing and packaging followed by 4-7 business days of shipping for India-wide orders.<br>
We will get ready and ship your package within 48 hours. Tracking information is automatically emailed to all customers and sent via message if the phone number is added to your order. If you don't receive this, please check your spam folder.</p>

<p>If you have any questions about shipping, please dm us on Instagram @Sicsense.in<br>
&nbsp;</p>
",RETURN & EXCHANGE,"<p>All sales made are final and cannot be refunded or cancelled once payment has processed and the order is confirmed.</p>

<p>For any Exchange or Replacement give us a text on Instagram @Sicsense.in</p>
",,,,,,,,,,,Sicsense
product_8a23465b-1bce-0872-f075-2ac087a1c882,Product,Nova Chain  (Golden),"<p><strong>Nova Pendant Chain – Your Daily Flex</strong></p><p>Not just a chain, it’s a whole vibe. The Nova Pendant Chain is built to level up any ‘fit — sleek, bold, and dripping with style. Wear it solo or stack it up, either way, you're the main character.</p><p><strong>Why It Slaps:</strong></p><ul>	<li>	<p>Made with high-quality stainless steel — tough, lightweight, and stays fresh</p>	</li>	<li>	<p>Clean, modern pendant that hits different</p>	</li>	<li>	<p>Anti-tarnish + water-resistant = wear it 24/7, no stress</p>	</li></ul><p>This piece isn’t just jewelry — it’s your go-to statement. Minimal, edgy, and mad versatile. Trust, it’ll get noticed.</p>",7ae4c4_c2a81ff81d1145688b9873b3f5b118ad~mv2.jpg;7ae4c4_bccda1e90b124854824f2b4cb1e7bb7f~mv2.jpg;7ae4c4_92b7a1f6a25b49bb8307dcf338c7ad80~mv2.jpg;7ae4c4_53313679966d4224ab02c7f48d8abbfb~mv2.jpg,Pendants,,,399.0,,true,PERCENT,0.0,7,0.08,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p><strong>MATERIAL </strong>- Stainless Steel Chain &amp; Pendant</p>

<p><strong>SIZE </strong>- 21 Inches Chain &amp; 1 Inch Pendant</p>
",CARE INSTRUCTIONS,"<p>You’ve got yourself a Sicsense Pendant Chain—built to last, no stress required. But if you want to keep it looking sharp, here’s the simple game plan:</p>

<p>1️⃣ Waterproof – Shower? Sweat? Spilled your drink? No worries, it’s built different.</p>

<p>2️⃣ Anti-Tarnish – Stays shining, no green neck disasters here.</p>

<p>3️⃣ Hypoallergenic – Your skin will love it. No rashes, no redness, just vibes.</p>

<p>4️⃣ 6-Month Warranty – If it ever lets you down (it won’t), we’ve got you.</p>

<p>Basically, put it on and forget about it—this chain works harder than your ex ever did.Wear it. Love it. Forget the hassle. Sicsense has you covered. 😏​​​​​​</p>

<p>&nbsp;</p>
",SHIPPING,"<p>After placing your order, please wait for least 48 Hours which includes making, processing and packaging followed by 4-7 business days of shipping for India-wide orders.<br>
We will get ready and ship your package within 48 hours. Tracking information is automatically emailed to all customers and sent via message if the phone number is added to your order. If you don't receive this, please check your spam folder.<br>
<br>
If you have any questions about shipping, please dm us on Instagram @Sicsense.in</p>
",RETURN AND EXCHANGE,"<p>All sales made are final and cannot be refunded or cancelled once payment has processed and the order is confirmed.</p>

<p>For any Exchange or Replacement give us a text on Instagram @Sicsense.in</p>
",,,,,,,,,,,Sicsense
product_8f766bb9-7027-f734-9318-cbdacf8d0666,Product,Echo Pendant Chain,"<p><strong>Echo Chain&nbsp;– Inner Peace, Outer Drip</strong><br>Minimal look. Maximum meaning. The Dove Pendant is that daily reminder to breathe, flow, and keep your energy unbothered.</p><p><strong>Why It Hits:</strong></p><ul>	<li>	<p>Clean dove engraving = balance, freedom, and light vibes</p>	</li>	<li>	<p>Made with premium stainless steel — no tarnish, no fade</p>	</li>	<li>	<p>Waterproof, daily-wear ready, zero stress</p>	</li></ul>",7ae4c4_4b042cfcee1e4512b6c63c36e90ca7f9~mv2.jpg;7ae4c4_57e3b353386d48f593d658a413463ad8~mv2.jpg;7ae4c4_ebc983c8963749b8ac3fd78e8081d0ca~mv2.jpg;7ae4c4_5b732a8f78d249188258a6b5dbf172bf~mv2.jpg;7ae4c4_eadadf7e175b4bb3bf704c3f80647583~mv2.jpg;7ae4c4_582f556b62ce4bf1a14980cbe73cfed7~mv2.jpg,Pendants,,,499.0,,true,PERCENT,0.0,12,0.08,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p><strong>MATERIAL </strong>- Stainless Steel Chain &amp; Pendant (Waterprrof &amp; Anti Tarnish)</p>

<p><strong>SIZE</strong> - 21 Inch Chain &amp; Pendat Diameter 1.5cm&nbsp;</p>
",CARE INSTRUCTIONS,"<p>You’ve got yourself a Sicsense Pendant Chain—built to last, no stress required. But if you want to keep it looking sharp, here’s the simple game plan:</p>

<p>1️⃣ Waterproof – Shower? Sweat? Spilled your drink? No worries, it’s built different.</p>

<p>2️⃣ Anti-Tarnish – Stays shining, no green neck disasters here.</p>

<p>3️⃣ Hypoallergenic – Your skin will love it. No rashes, no redness, just vibes.</p>

<p>4️⃣ 6-Month Warranty – If it ever lets you down (it won’t), we’ve got you.</p>

<p>Basically, put it on and forget about it—this chain works harder than your ex ever did.Wear it. Love it. Forget the hassle. Sicsense has you covered. 😏​​​​​​</p>
",SHIPPING,"<p>After placing your order, please wait for least 48 Hours which includes making, processing and packaging followed by 4-7 business days of shipping for India-wide orders.<br>
We will get ready and ship your package within 48 hours. Tracking information is automatically emailed to all customers and sent via message if the phone number is added to your order. If you don't receive this, please check your spam folder.<br>
<br>
If you have any questions about shipping, please dm us on Instagram @Sicsense.in</p>
",RETURN AND EXCHANGE,"<p>All sales made are final and cannot be refunded or cancelled once payment has processed and the order is confirmed.</p>

<p>For any Exchange or Replacement give us a text on Instagram @Sicsense.in</p>
",,,,,,,,,,,Sicsense
product_f7afc725-23af-d017-f3a9-1d8dba331ccc,Product,Dune Pendant Chain,"<p>The <strong>Dune Pendant</strong> brings a calm, coastal energy with its spiral motif — a symbol of movement, growth, and connection to nature. Inspired by tribal patterns and the rhythm of the ocean.</p><p><strong>Why You’ll Vibe With It:</strong></p><ul>	<li>	<p>Spiral engraving with raw, earthy detail</p>	</li>	<li>	<p>Crafted from stainless steel — anti-tarnish + water-resistant</p>	</li>	<li>	<p>Lightweight, low-maintenance, made for daily wear</p>	</li></ul><p>Minimal, grounded, and quietly bold — the Dune Pendant is made for those who carry island soul with city edge.</p>",7ae4c4_bd5be355bcb34253a9847d6308613624~mv2.jpg;7ae4c4_b68da3ac7b1a48058e09f42c410e4e81~mv2.jpg;7ae4c4_7f4cd81a06a14689a878c313a120bd05~mv2.jpg;7ae4c4_63ca1e03688a4c7ca0635a7b37869e1c~mv2.jpg;7ae4c4_d9f33422cb174f73b53ddca1346bb9c8~mv2.jpg,Pendants,,,450.0,,true,PERCENT,0.0,16,0.08,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p><strong>MATERIAL </strong>- Stainless Steel Chain &amp; Pendant (Waterprrof &amp; Anti Tarnish)</p>

<p><strong>SIZE</strong> - 21 Inch Chain &amp; Pendat Diameter 1.5cm&nbsp;</p>
",CARE INSTRUCTIONS,"<p>You’ve got yourself a Sicsense Pendant Chain—built to last, no stress required. But if you want to keep it looking sharp, here’s the simple game plan:</p>

<p>1️⃣ Waterproof – Shower? Sweat? Spilled your drink? No worries, it’s built different.</p>

<p>2️⃣ Anti-Tarnish – Stays shining, no green neck disasters here.</p>

<p>3️⃣ Hypoallergenic – Your skin will love it. No rashes, no redness, just vibes.</p>

<p>4️⃣ 6-Month Warranty – If it ever lets you down (it won’t), we’ve got you.</p>

<p>Basically, put it on and forget about it—this chain works harder than your ex ever did.Wear it. Love it. Forget the hassle. Sicsense has you covered. 😏​​​​​​</p>
",SHIPPING,"<p>After placing your order, please wait for least 48 Hours which includes making, processing and packaging followed by 4-7 business days of shipping for India-wide orders.<br>
We will get ready and ship your package within 48 hours. Tracking information is automatically emailed to all customers and sent via message if the phone number is added to your order. If you don't receive this, please check your spam folder.<br>
<br>
If you have any questions about shipping, please dm us on Instagram @Sicsense.in</p>
",RETURN AND EXCHANGE,"<p>All sales made are final and cannot be refunded or cancelled once payment has processed and the order is confirmed.</p>

<p>For any Exchange or Replacement give us a text on Instagram @Sicsense.in</p>
",,,,,,,,,,,Sicsense
product_00aa08c8-a047-36e5-542f-ce6ef9d62d64,Product,Daystar Chain (Golden),"<p>Not just a chain — it’s your daily energy. The Daystar Pendant brings subtle heat with a clean sun design that’s all about power, clarity, and quiet confidence. Rock it solo or layer it up — either way, you’re shining.</p><p><strong>Why It Slaps:</strong></p><ul>	<li>	<p>Crafted from premium stainless steel — durable, lightweight, and built to last</p>	</li>	<li>	<p>Sun-engraved pendant that’s minimal but speaks loud</p>	</li>	<li>	<p>Anti-tarnish + water-resistant = all-day wear, no drama</p>	</li></ul>",7ae4c4_ab18fb0e6ce74f9686e90f5f91e03c6c~mv2.jpg;7ae4c4_61526debae2b47e4959e1f1da300db3d~mv2.jpg;7ae4c4_c68f1da0cb09426486c362011d9fd88a~mv2.jpg;7ae4c4_96cf61c8296e4956bb05ad011cc3a638~mv2.jpg,Pendants,,,499.0,,true,PERCENT,0.0,14,0.08,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p><strong>MATERIAL </strong>- Stainless Steel Chain &amp; Pendant (Waterprrof &amp; Anti Tarnish)</p>

<p><strong>SIZE</strong> - 21 Inch Chain &amp; Pendat Diameter 1.5cm&nbsp;</p>
",CARE INSTRUCTIONS,"<p>You’ve got yourself a Sicsense Pendant Chain—built to last, no stress required. But if you want to keep it looking sharp, here’s the simple game plan:</p>

<p>1️⃣ Waterproof – Shower? Sweat? Spilled your drink? No worries, it’s built different.</p>

<p>2️⃣ Anti-Tarnish – Stays shining, no green neck disasters here.</p>

<p>3️⃣ Hypoallergenic – Your skin will love it. No rashes, no redness, just vibes.</p>

<p>4️⃣ 6-Month Warranty – If it ever lets you down (it won’t), we’ve got you.</p>

<p>Basically, put it on and forget about it—this chain works harder than your ex ever did.Wear it. Love it. Forget the hassle. Sicsense has you covered. 😏​​​​​​</p>
",SHIPPING,"<p>After placing your order, please wait for least 48 Hours which includes making, processing and packaging followed by 4-7 business days of shipping for India-wide orders.<br>
We will get ready and ship your package within 48 hours. Tracking information is automatically emailed to all customers and sent via message if the phone number is added to your order. If you don't receive this, please check your spam folder.<br>
<br>
If you have any questions about shipping, please dm us on Instagram @Sicsense.in</p>
",RETURN AND EXCHANGE,"<p>All sales made are final and cannot be refunded or cancelled once payment has processed and the order is confirmed.</p>

<p>For any Exchange or Replacement give us a text on Instagram @Sicsense.in</p>
",,,,,,,,,,,Sicsense
product_1c85c9df-ecef-d0df-3e90-1b56c152fbab,Product,Daystar Chain (Silver),"<p>Not just a chain — it’s your daily energy. The Daystar Pendant brings subtle heat with a clean sun design that’s all about power, clarity, and quiet confidence. Rock it solo or layer it up — either way, you’re shining.</p><p><strong>Why It Slaps:</strong></p><ul>	<li>	<p>Crafted from premium stainless steel — durable, lightweight, and built to last</p>	</li>	<li>	<p>Sun-engraved pendant that’s minimal but speaks loud</p>	</li>	<li>	<p>Anti-tarnish + water-resistant = all-day wear, no drama</p>	</li></ul>",7ae4c4_97d934e3f7e34a3c8c7f0433e9ad989a~mv2.jpg;7ae4c4_f3312ca6395348c19447c400da842f89~mv2.jpg;7ae4c4_6a88f092f8914633a25a9494b2a60c5a~mv2.jpg;7ae4c4_788205fdb2e342878d1ab612f83b1663~mv2.jpg;7ae4c4_a575f844d28f4d15ae4cec4f2e45ad85~mv2.jpg,Pendants,,,499.0,,true,PERCENT,0.0,6,0.08,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p><strong>MATERIAL </strong>- Stainless Steel Chain &amp; Pendant (Waterprrof &amp; Anti Tarnish)</p>

<p><strong>SIZE</strong> - 21 Inch Chain &amp; Pendat Diameter 1.5cm&nbsp;</p>
",CARE INSTRUCTIONS,"<p>You’ve got yourself a Sicsense Pendant Chain—built to last, no stress required. But if you want to keep it looking sharp, here’s the simple game plan:</p>

<p>1️⃣ Waterproof – Shower? Sweat? Spilled your drink? No worries, it’s built different.</p>

<p>2️⃣ Anti-Tarnish – Stays shining, no green neck disasters here.</p>

<p>3️⃣ Hypoallergenic – Your skin will love it. No rashes, no redness, just vibes.</p>

<p>4️⃣ 6-Month Warranty – If it ever lets you down (it won’t), we’ve got you.</p>

<p>Basically, put it on and forget about it—this chain works harder than your ex ever did.Wear it. Love it. Forget the hassle. Sicsense has you covered. 😏​​​​​​</p>
",SHIPPING,"<p>After placing your order, please wait for least 48 Hours which includes making, processing and packaging followed by 4-7 business days of shipping for India-wide orders.<br>
We will get ready and ship your package within 48 hours. Tracking information is automatically emailed to all customers and sent via message if the phone number is added to your order. If you don't receive this, please check your spam folder.<br>
<br>
If you have any questions about shipping, please dm us on Instagram @Sicsense.in</p>
",RETURN AND EXCHANGE,"<p>All sales made are final and cannot be refunded or cancelled once payment has processed and the order is confirmed.</p>

<p>For any Exchange or Replacement give us a text on Instagram @Sicsense.in</p>
",,,,,,,,,,,Sicsense
product_bf8a04a7-d81d-7328-17b1-88136c8c923a,Product,The Starry Tie,,7ae4c4_2152288d564d48b4b572ccfaff5eef23~mv2.jpg;7ae4c4_711b618e98114f42bc7e7c4e3418efdd~mv2.jpg;7ae4c4_6f520b114cfa4096be4366c9eaea16b9~mv2.jpg;7ae4c4_7c4177ee60ce497d8ba70af6edff414a~mv2.jpg,SICARCHIVE;Tie,,,600.0,,true,PERCENT,0.0,0,0.08,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p><strong>MATERIAL </strong>- Cotton and Polyester</p>

<p><strong>LENGTH </strong>- Full length 51 inchesn (Untied)</p>

<p>&nbsp;</p>
",CARE INSTRUCTIONS,"<ul>
	<li><strong>HAND WASH</strong> - Use a gentle solution of cold water and white mild softener.Rinse thoroughly and blot gently with a towel. Do not wring or twist the tie.</li>
	<li><strong>DRY </strong>-Always air dry ties, avoiding tumble drying.&nbsp;Lay the tie flat on a dry towel or a rack</li>
</ul>

<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>

<p>&nbsp;</p>
",SHIPPING,"<p>After placing your order, please wait for least 48 Hours which includes making, processing and packaging followed by 4-7 business days of shipping for India-wide orders.<br>
We will get ready and ship your package within 48 hours. Tracking information is automatically emailed to all customers and sent via message if the phone number is added to your order. If you don't receive this, please check your spam folder.<br>
<br>
If you have any questions about shipping, please dm us on Instagram @Sicsense.in</p>
",RETURN AND EXCHANGE,"<p>All sales made are final and cannot be refunded or cancelled once payment has processed and the order is confirmed.</p>

<p>For any Exchange or Replacement give us a text on Instagram @Sicsense.in</p>
",,,,,,,,,,,Sicsense
