Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
7e2f0e5b_04bb_6fb1_c60a_1a9815c4fbd9,Surfer Pendant Chain,"<p><strong>Surfer Pendant Chain</strong><br>Ride the flow. The Surfer Pendant Chain comes with our brooklyn chain&nbsp;with a statement pendant, bringing a mix of street edge and coastal calm. Designed to stand out, it’s your everyday wave of style — clean, confident, and built to last.</p><p><strong>Why It Hits:</strong></p><ul>	<li>Why it hits: Unique Brooklyn chain = not your regular drip</li>	<li>Pendant + chain combo that’s both minimal and flex-worthy</li>	<li>Anti-tarnish + water-resistant = wear it 24/7, no stress</li>	<li>Easy to rock solo, fire when layered</li></ul>",Sicsense,Pendants,Pendants,TRUE,,,,,,,,80,shopify,12,deny,manual,599.0,,TRUE,TRUE,,https://static.wixstatic.com/media/7ae4c4_a147a85b152446b7961302310d8535da~mv2.jpg,1,Surfer Pendant Chain,FALSE,,,,,,,,,,,,,,,,,,,,active
7e2f0e5b_04bb_6fb1_c60a_1a9815c4fbd9,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_3fc97f754e7d4430a582f41e63a1d345~mv2.jpg,2,Surfer Pendant Chain,,,,,,,,,,,,,,,,,,,,,
7e2f0e5b_04bb_6fb1_c60a_1a9815c4fbd9,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_fa83eff1352544e3b7bd428d479a4953~mv2.jpg,3,Surfer Pendant Chain,,,,,,,,,,,,,,,,,,,,,
7e2f0e5b_04bb_6fb1_c60a_1a9815c4fbd9,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_26c8f7a167a24e2c8eb0dd663359c937~mv2.jpg,4,Surfer Pendant Chain,,,,,,,,,,,,,,,,,,,,,
7e2f0e5b_04bb_6fb1_c60a_1a9815c4fbd9,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_9e04a2c6e5ca41e2be26c95d8a642684~mv2.jpg,5,Surfer Pendant Chain,,,,,,,,,,,,,,,,,,,,,
7e2f0e5b_04bb_6fb1_c60a_1a9815c4fbd9,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_7efe4549340140cf9f10250c99b4c300~mv2.jpg,6,Surfer Pendant Chain,,,,,,,,,,,,,,,,,,,,,
7e2f0e5b_04bb_6fb1_c60a_1a9815c4fbd9,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_bf557e4a64b042258983108b6ce2b85f~mv2.jpg,7,Surfer Pendant Chain,,,,,,,,,,,,,,,,,,,,,
7e2f0e5b_04bb_6fb1_c60a_1a9815c4fbd9,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_8002aa81497c4c938d2da835c8ec5bf2~mv2.jpg,8,Surfer Pendant Chain,,,,,,,,,,,,,,,,,,,,,
7e2f0e5b_04bb_6fb1_c60a_1a9815c4fbd9,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_5c99efd2bc244bdcbcfd370a00ed3716~mv2.jpg,9,Surfer Pendant Chain,,,,,,,,,,,,,,,,,,,,,
663db186_35d3_ab22_ea7d_1ad280a0e0ad,Titan Chain,"<p>Street energy, clean execution. The Titan Chain keeps it bold but classy — for the ones who know how to flex without losing finesse.<br>Why It Slaps:</p><ul>	<li>Premium stainless steel — anti-tarnish, water-resistant, built to last</li>	<li>Chunky links for that confident street presence</li>	<li>Balanced design — enough shine for the spotlight, enough class for everyday wear</li></ul><p>From the block to the boardroom — the Titan Chain always sits like a crown.</p>",Sicsense,Neckpieces,"Neckpieces,Best sellers,New Launch",TRUE,,,,,,,,100,shopify,0,deny,manual,450.0,,TRUE,TRUE,,https://static.wixstatic.com/media/7ae4c4_53de655ee1a14689bfe24ee414b4a95d~mv2.jpg,1,Titan Chain,FALSE,,,,,,,,,,,,,,,,,,,,active
663db186_35d3_ab22_ea7d_1ad280a0e0ad,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_832c6ad7a4144aaaae4fdd269088bced~mv2.png,2,Titan Chain,,,,,,,,,,,,,,,,,,,,,
663db186_35d3_ab22_ea7d_1ad280a0e0ad,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_eaf8d8189728465bb855f8fe07972512~mv2.png,3,Titan Chain,,,,,,,,,,,,,,,,,,,,,
663db186_35d3_ab22_ea7d_1ad280a0e0ad,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_45559d79635741f084b99805c01fda8d~mv2.png,4,Titan Chain,,,,,,,,,,,,,,,,,,,,,
663db186_35d3_ab22_ea7d_1ad280a0e0ad,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_1e7801fd652c427d9850dafb4cc07b77~mv2.png,5,Titan Chain,,,,,,,,,,,,,,,,,,,,,
663db186_35d3_ab22_ea7d_1ad280a0e0ad,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_547fe844d4fa4f3c95ecc82a36362360~mv2.png,6,Titan Chain,,,,,,,,,,,,,,,,,,,,,
8d597d75_f3be_7304_dd81_0e3d9be0254f,Helix Ear Cuff,"<p><strong>Helix Ear Cuff – No Piercing, All Drip</strong></p><p>Level up your ear game without going near a needle. The <strong>Helix Ear Cuff</strong> wraps your ear in clean, minimal shine — no commitment, no fuss. Just slide it on and you’re instantly in main character mode.</p><p><strong>Why It Slaps:</strong></p><ul>	<li>	<p>No piercing needed — pain-free style upgrade</p>	</li>	<li>	<p>Lightweight but makes a heavy style statement</p>	</li>	<li>	<p>Easy to wear, easy to pair with any fit</p>	</li></ul>",Sicsense,Earrings,"Earrings,Non-Pierced",TRUE,,,,,,,,80,shopify,19,deny,manual,250.0,,TRUE,TRUE,,https://static.wixstatic.com/media/7ae4c4_42161530fe3d4d2bad060442fe50e96e~mv2.jpg,1,Helix Ear Cuff,FALSE,,,,,,,,,,,,,,,,,,,,active
8d597d75_f3be_7304_dd81_0e3d9be0254f,,,,,,,,,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/7ae4c4_f908426321dc452ba53aec71a0e19688~mv2.jpg,2,Helix Ear Cuff,,,,,,,,,,,,,,,,,,,,,
